City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,sao bento,-6.2833,-37.75,84.92,53,88,11.95,BR,1707570790
291,fisterra,42.9049,-9.2629,52.75,58,100,29.84,ES,1707570598
292,lebu,-37.6167,-73.65,59.47,82,100,8.66,CL,1707570605
293,tapes,-30.6733,-51.3958,83.1,70,87,8.75,BR,1707570791
294,evinayong,1.4368,10.5512,83.61,64,100,3.02,GQ,1707570791
295,san luis,-33.295,-66.3356,75.04,60,0,3.53,AR,1707570791
296,santa quiteria do maranhao,-3.5156,-42.5467,76.87,93,100,1.48,BR,1707570791
297,constantia,44.1833,28.65,63.7,55,100,9.53,RO,1707570339
298,aykhal,66.0,111.5,-33.18,100,100,3.11,RU,1707570633
299,monrovia,6.3005,-10.7969,85.06,69,92,8.03,LR,1707570791
300,beau vallon,-20.4189,57.6953,83.21,89,75,8.05,MU,1707570791
301,la carolina,38.2756,-3.6153,48.61,78,100,14.72,ES,1707570792
302,keren,15.7778,38.4581,82.89,20,0,12.59,ER,1707570792
303,bikenibeu village,1.3673,173.1241,75.16,94,100,23.02,KI,1707570792
304,mabaruma,8.2,-59.7833,81.09,78,0,6.49,GY,1707570792
305,camocim,-2.9022,-40.8411,78.75,87,100,11.36,BR,1707570792
306,kayar,14.9192,-17.1211,94.15,31,0,13.24,SN,1707570792
307,i-n-salah,27.1935,2.4607,82.72,6,55,24.25,DZ,1707570634
308,argo,37.6333,22.7333,63.79,29,100,5.26,GR,1707570631
309,cidreira,-30.1811,-50.2056,84.09,62,6,8.7,BR,1707570792
310,levuka,50.1834,-105.4011,4.57,96,7,6.51,CA,1707570793
311,mazagao,-0.115,-51.2894,89.65,76,83,7.27,BR,1707570793
312,cova figueira,14.8905,-24.2934,73.54,59,0,15.66,CV,1707570793
313,midvagur,62.0511,-7.1939,36.43,75,75,17.27,FO,1707570793
314,peace river,56.2501,-117.286,16.11,98,100,4.61,CA,1707570664
315,beledweyne,4.7358,45.2036,97.72,21,4,16.42,SO,1707570793
316,berezniki,59.4152,56.8124,0.93,100,96,3.6,RU,1707570793
317,bhimunipatnam,17.8833,83.4333,76.51,76,2,7.7,IN,1707570793
318,vila velha,-20.3297,-40.2925,80.55,92,40,3.44,BR,1707570793
319,jesteburg,53.3,9.9667,49.37,67,100,5.95,DE,1707570793
320,neufchatel-en-bray,49.7332,1.4396,51.39,91,100,7.14,FR,1707570793
321,lazaro cardenas,17.9583,-102.2,67.26,82,5,4.74,MX,1707570794
322,acarau,-2.8856,-40.12,79.81,85,100,12.1,BR,1707570794
323,esfarayen,37.0765,57.5101,49.71,42,100,6.33,IR,1707570794
324,nova vicosa,-17.8919,-39.3719,79.72,72,78,5.59,BR,1707570794
325,camana,-16.6228,-72.7111,77.41,78,100,4.83,PE,1707570794
326,sur,22.5667,59.5289,73.08,68,0,8.81,OM,1707570794
327,kamina,-8.7386,24.9906,76.86,76,99,4.14,CD,1707570794
328,kibre mengist,5.8833,38.9833,81.52,32,100,4.83,ET,1707570795
329,lorengau,-2.0226,147.2712,82.56,80,100,9.1,PG,1707570604
330,quellon,-43.1167,-73.6167,57.51,83,89,5.03,CL,1707570795
331,owase,34.0667,136.2,41.59,79,26,5.46,JP,1707570795
332,tromso,69.6496,18.957,21.22,73,40,14.97,NO,1707570600
333,kailua-kona,19.6406,-155.9956,71.56,86,20,8.05,US,1707570634
334,bandon,51.7469,-8.7425,49.59,90,93,14.07,IE,1707570614
335,novaya igirma,57.1334,103.9112,34.56,98,100,14.18,RU,1707570796
336,tindouf,27.6711,-8.1474,72.05,53,100,28.77,DZ,1707570796
337,aral,40.5156,81.2636,35.26,48,1,6.06,CN,1707570796
338,maceio,-9.6658,-35.7353,90.84,55,40,14.97,BR,1707570796
339,santiago,-33.4569,-70.6483,80.29,38,0,3.44,CL,1707570582
340,montfort-sur-meu,48.1333,-1.9667,53.49,66,75,13.8,FR,1707570796
